,bitcoin,dogecoin,stellar,ripple,litecoin,tether,ethereum,bitcoin-cash,binancecoin,cardano,tron,chainlink,weth,usd-coin
2024-12-13,0.5,0.5,1.0,0.1,0.5,0.5,0.1,0.5,0.5,0.5,1.0,0.1,0.1,1.0
2024-12-14,0.5,0.5,0.5,0.1,0.5,0.5,0.1,0.5,0.5,1.0,1.0,1.0,0.1,1.0
2024-12-15,0.1,1.0,1.0,0.1,1.0,0.5,0.5,0.1,0.5,1.0,1.0,1.0,0.5,0.5
2024-12-16,0.1,1.0,1.0,0.1,1.0,1.0,0.5,0.1,0.5,1.0,1.0,1.0,0.5,1.0
2024-12-17,0.1,0.5,0.5,0.1,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2024-12-18,1.0,0.1,0.1,0.1,0.1,0.5,1.0,0.1,0.1,0.1,1.0,1.0,0.1,0.5
2024-12-19,1.0,0.1,0.1,0.1,1.0,0.5,0.1,1.0,0.1,0.1,0.5,0.5,0.1,0.1
2024-12-20,0.1,0.1,0.1,1.0,1.0,0.5,0.1,1.0,0.1,0.5,0.5,0.5,0.1,0.5
2024-12-21,0.1,0.1,0.5,1.0,1.0,0.5,0.1,1.0,0.1,0.1,0.5,0.5,0.1,0.1
2024-12-22,0.1,0.1,0.5,1.0,0.5,0.5,0.1,1.0,0.1,0.1,0.5,0.5,0.1,0.5
2024-12-23,0.1,0.1,0.1,1.0,0.5,0.5,0.1,1.0,0.1,0.5,0.5,0.5,0.1,0.5
2024-12-24,0.5,1.0,0.5,1.0,0.5,0.5,0.1,1.0,1.0,1.0,0.5,0.5,0.1,1.0
2024-12-25,0.5,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.1,1.0,0.1,0.5
2024-12-26,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.1
2024-12-27,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0
2024-12-28,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5
2024-12-29,1.0,1.0,1.0,1.0,0.1,0.5,0.5,1.0,0.5,0.1,1.0,1.0,0.1,0.1
2024-12-30,1.0,1.0,1.0,1.0,1.0,0.1,0.1,1.0,0.5,0.1,1.0,1.0,0.1,0.1
2024-12-31,0.1,0.1,1.0,0.1,1.0,0.1,0.1,0.5,0.1,0.5,1.0,1.0,0.1,0.1
2025-01-01,1.0,0.1,1.0,0.5,0.1,0.1,0.1,0.5,0.1,0.5,1.0,1.0,0.1,0.1
2025-01-02,0.5,0.1,0.5,0.5,0.5,0.1,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.1
2025-01-03,1.0,0.5,0.5,0.5,0.5,0.1,0.5,0.5,1.0,0.5,0.1,1.0,0.5,0.1
2025-01-04,1.0,1.0,0.1,0.5,0.5,0.1,0.1,0.5,1.0,0.5,0.5,1.0,0.5,0.1
2025-01-05,0.5,1.0,0.5,0.5,0.5,0.1,0.1,0.5,1.0,0.5,0.5,0.5,0.5,0.1
2025-01-06,1.0,1.0,0.5,0.5,0.5,0.5,0.1,0.5,1.0,0.5,0.5,0.1,0.1,0.1
2025-01-07,1.0,1.0,0.5,0.5,0.1,0.5,0.1,0.5,1.0,0.5,0.5,0.5,0.5,0.1
2025-01-08,0.5,1.0,0.5,0.5,0.1,0.5,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.1
2025-01-09,0.5,0.5,0.1,0.1,1.0,0.5,0.5,0.1,0.1,0.5,0.5,1.0,0.1,1.0
2025-01-10,0.5,1.0,1.0,0.1,1.0,0.5,0.1,0.5,0.1,0.1,0.5,1.0,0.1,0.1
2025-01-11,0.5,1.0,0.5,0.1,0.5,0.5,0.1,0.5,0.5,1.0,0.5,1.0,0.1,0.5
2025-01-12,0.5,1.0,0.5,0.1,0.1,0.5,0.1,0.5,0.1,1.0,0.5,0.1,0.1,0.5
2025-01-13,0.5,1.0,0.5,0.1,0.1,0.5,0.5,0.5,0.1,1.0,0.5,1.0,0.1,0.1
2025-01-14,0.5,1.0,0.5,0.1,0.5,0.5,0.1,0.5,0.1,0.5,0.5,1.0,0.1,0.5
2025-01-15,0.5,1.0,0.1,0.1,0.5,0.5,0.1,0.1,0.1,1.0,0.5,0.5,0.1,1.0
2025-01-16,0.5,1.0,0.1,0.1,0.5,0.5,0.1,0.1,0.1,1.0,0.5,0.5,0.1,0.1
2025-01-17,0.5,1.0,0.1,1.0,0.5,0.5,0.5,1.0,1.0,0.1,0.1,0.5,0.5,1.0
2025-01-18,0.1,0.5,0.5,0.5,0.1,0.5,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1
2025-01-19,0.1,0.1,0.1,0.5,0.1,0.5,1.0,0.1,1.0,0.1,0.5,0.1,1.0,0.1
2025-01-20,0.1,0.1,1.0,0.5,0.1,0.5,1.0,1.0,0.5,1.0,0.5,0.1,1.0,0.1
2025-01-21,0.1,0.1,1.0,1.0,0.1,0.5,0.5,1.0,0.5,1.0,0.5,0.1,1.0,0.1
2025-01-22,1.0,0.5,1.0,0.1,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0
2025-01-23,0.5,0.5,1.0,0.1,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0
2025-01-24,1.0,0.5,0.1,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
2025-01-25,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.1
2025-01-26,1.0,1.0,1.0,0.5,0.5,0.1,1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.1
2025-01-27,1.0,1.0,0.1,0.1,1.0,0.1,1.0,1.0,0.5,1.0,1.0,0.1,1.0,0.5
2025-01-28,0.5,1.0,0.1,0.1,1.0,0.1,1.0,1.0,0.5,1.0,1.0,0.1,1.0,0.1
2025-01-29,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.5,0.5,0.5,0.1,0.1
2025-01-30,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.5,0.5,0.5,0.1,0.1
2025-01-31,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.5,0.5,0.5,0.1,0.1
2025-02-01,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.5,0.5,0.5,1.0,1.0
2025-02-02,0.5,0.5,0.1,0.1,0.5,0.5,1.0,1.0,0.1,0.5,0.5,0.5,1.0,1.0
2025-02-03,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.1,0.5,1.0,0.1
2025-02-04,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.1,1.0,1.0,0.1
2025-02-05,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.1,0.5,1.0,1.0
2025-02-06,0.1,0.5,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.1,0.5,1.0,1.0
2025-02-07,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.1,1.0,0.5,1.0,1.0
2025-02-08,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,0.1
2025-02-09,0.5,1.0,0.5,0.1,0.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0
2025-02-10,0.5,0.1,0.5,0.1,0.1,1.0,0.1,0.1,0.5,0.5,0.1,1.0,0.1,0.1
2025-02-11,0.5,0.1,0.5,0.1,0.1,1.0,0.1,0.1,0.5,0.5,0.1,1.0,0.1,0.1
2025-02-12,0.5,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.1,1.0,0.5,1.0
2025-02-13,0.1,0.1,0.1,0.5,0.1,0.1,0.5,0.1,0.5,0.1,0.1,0.1,0.1,1.0
2025-02-14,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.5,0.1,0.1,0.1,0.5,1.0
2025-02-15,0.1,0.1,0.5,0.5,0.1,0.1,0.5,0.1,0.5,0.5,0.1,1.0,0.5,1.0
2025-02-16,0.1,0.1,0.5,0.5,0.1,0.1,1.0,0.1,0.5,0.1,0.1,0.1,1.0,1.0
2025-02-17,0.5,0.5,0.5,1.0,1.0,0.1,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0
2025-02-18,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.1,1.0,1.0
2025-02-19,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0
2025-02-20,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.1,1.0,1.0
2025-02-21,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.1,1.0,1.0
2025-02-22,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.1,0.5,1.0
2025-02-23,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0
2025-02-24,0.5,0.1,1.0,0.1,0.5,0.5,1.0,0.1,0.5,0.1,0.1,0.5,1.0,1.0
2025-02-25,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.1,0.1,1.0,0.1,1.0
2025-02-26,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.1,0.1,0.1,0.1,1.0
2025-02-27,0.1,0.5,0.1,0.5,0.5,1.0,1.0,0.5,1.0,0.1,0.1,1.0,0.1,1.0
2025-02-28,0.1,0.5,1.0,0.5,0.5,0.5,0.5,0.1,0.5,1.0,0.1,1.0,0.5,0.5
2025-03-01,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.1,1.0,0.1,0.5
2025-03-02,0.1,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.1,1.0,0.1,0.5
